419, 0.129596, 0.932715, 0.123313, -0.313117
469, 0.129596, 0.932715, 0.123313, -0.313117
520, 0.129596, 0.932715, 0.123313, -0.313117
570, 0.129596, 0.932715, 0.123313, -0.313117
618, 0.131336, 0.931609, 0.123235, -0.315704
668, 0.126334, 0.931322, 0.122281, -0.318946
719, 0.129596, 0.932715, 0.123313, -0.313117
768, 0.124486, 0.932422, 0.122346, -0.316424
819, 0.129705, 0.932493, 0.121206, -0.314551
871, 0.132763, 0.934023, 0.124498, -0.307368
919, 0.129596, 0.932715, 0.123313, -0.313117
969, 0.129596, 0.932715, 0.123313, -0.313117
1022, 0.129596, 0.932715, 0.123313, -0.313117
1070, 0.129596, 0.932715, 0.123313, -0.313117
1120, 0.129596, 0.932715, 0.123313, -0.313117
1169, 0.129596, 0.932715, 0.123313, -0.313117
1222, 0.124486, 0.932422, 0.122346, -0.316424
1270, 0.127411, 0.933991, 0.125635, -0.309262
1320, 0.124486, 0.932422, 0.122346, -0.316424
1370, 0.129596, 0.932715, 0.123313, -0.313117
1418, 0.129596, 0.932715, 0.123313, -0.313117
1469, 0.126613, 0.930991, 0.120061, -0.32064
1519, 0.129596, 0.932715, 0.123313, -0.313117
1569, 0.129596, 0.932715, 0.123313, -0.313117
1618, 0.124486, 0.932422, 0.122346, -0.316424
1668, 0.131625, 0.931283, 0.121033, -0.317392
1718, 0.129596, 0.932715, 0.123313, -0.313117
1770, 0.127411, 0.933991, 0.125635, -0.309262
1819, 0.124486, 0.932422, 0.122346, -0.316424
1867, 0.129596, 0.932715, 0.123313, -0.313117
1918, 0.127411, 0.933991, 0.125635, -0.309262
1970, 0.127411, 0.933991, 0.125635, -0.309262
2019, 0.129596, 0.932715, 0.123313, -0.313117
2068, 0.129596, 0.932715, 0.123313, -0.313117
2118, 0.127411, 0.933991, 0.125635, -0.309262
2169, 0.129596, 0.932715, 0.123313, -0.313117
2221, 0.129596, 0.932715, 0.123313, -0.313117
2268, 0.127411, 0.933991, 0.125635, -0.309262
2320, 0.126613, 0.930991, 0.120061, -0.32064
2368, 0.124486, 0.932422, 0.122346, -0.316424
